
[2052-11-10 00:18:03.703] BLE disconnected. conn_hdl=0 reason=0x13
[2052-11-10 00:18:03.704] BLE advertising restarted.
[2052-11-10 00:00:01.051] BLE connected. conn_hdl=0 peers=1
[2052-11-10 00:00:01.051] [Settings] current: threshold=15.0 deg  debounce=200 ms  deadzone=5.0 deg
[2052-11-10 00:00:05.340] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.380] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.419] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.459] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.500] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.540] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.580] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.620] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.660] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.700] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.740] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.780] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.819] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.858] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.900] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.940] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:05.980] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.020] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.060] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.099] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.140] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.179] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.219] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.259] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.299] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.339] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:06.379] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
